epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.9878,1.23731,0.58269,0.00865,0.86765,0.86327,0.92545,0.59667,1.25296,0.61615,0.01066,0.000665158,0.000665158,0.000665158
2,122.178,1.33467,0.62993,0.00994,0.87855,0.82714,0.90677,0.55157,1.43671,0.6933,0.01223,0.00119997,0.00119997,0.00119997
3,165.397,1.35287,0.62047,0.00985,0.89906,0.87649,0.93884,0.60302,1.33073,0.58097,0.01207,0.00160279,0.00160279,0.00160279
4,208.186,1.31301,0.56684,0.00945,0.91237,0.84583,0.93136,0.61618,1.25276,0.57209,0.01064,0.001406,0.001406,0.001406
5,251.086,1.27343,0.537,0.00887,0.94519,0.89222,0.96083,0.61389,1.30089,0.49851,0.01115,0.001208,0.001208,0.001208
6,294.774,1.21538,0.50175,0.00834,0.92969,0.91089,0.96567,0.64949,1.19219,0.44838,0.00963,0.00101,0.00101,0.00101
7,342.738,1.18682,0.46306,0.00796,0.94379,0.91425,0.96773,0.65527,1.18714,0.42251,0.00965,0.000812,0.000812,0.000812
8,389.002,1.15846,0.41336,0.00775,0.9496,0.93346,0.97302,0.67625,1.14532,0.39494,0.00894,0.000614,0.000614,0.000614
9,436.354,1.11255,0.39903,0.00724,0.96242,0.93611,0.97622,0.68729,1.11483,0.37486,0.00856,0.000416,0.000416,0.000416
10,482.289,1.08805,0.38338,0.00706,0.96704,0.93721,0.97616,0.68694,1.11687,0.37453,0.00856,0.000218,0.000218,0.000218
