,map,map_50,map_75,map_small,map_medium,map_large,mar_1,mar_10,mar_100,mar_small,mar_medium,mar_large,map_per_class,mar_100_per_class,classes
0,tensor(0.5165),tensor(0.9103),tensor(0.5355),tensor(0.1903),tensor(0.5698),tensor(0.6021),tensor(0.5633),tensor(0.5743),tensor(0.5746),tensor(0.2496),tensor(0.6342),tensor(0.6578),tensor(0.5165),tensor(0.5746),"tensor(1, dtype=torch.int32)"
1,tensor(0.5333),tensor(0.9093),tensor(0.5609),tensor(0.1662),tensor(0.5843),tensor(0.6548),tensor(0.5666),tensor(0.5828),tensor(0.5833),tensor(0.2393),tensor(0.6410),tensor(0.7000),tensor(0.5333),tensor(0.5833),"tensor(1, dtype=torch.int32)"
2,tensor(0.5598),tensor(0.9116),tensor(0.6285),tensor(0.2349),tensor(0.6014),tensor(0.6659),tensor(0.6001),tensor(0.6158),tensor(0.6158),tensor(0.3269),tensor(0.6640),tensor(0.7152),tensor(0.5598),tensor(0.6158),"tensor(1, dtype=torch.int32)"
3,tensor(0.5540),tensor(0.9097),tensor(0.6051),tensor(0.2119),tensor(0.6028),tensor(0.6480),tensor(0.5895),tensor(0.6078),tensor(0.6079),tensor(0.3040),tensor(0.6628),tensor(0.6908),tensor(0.5540),tensor(0.6079),"tensor(1, dtype=torch.int32)"
4,tensor(0.3364),tensor(0.7575),tensor(0.2310),tensor(0.0401),tensor(0.4028),tensor(0.3097),tensor(0.3791),tensor(0.4203),tensor(0.4203),tensor(0.1332),tensor(0.4814),tensor(0.4482),tensor(0.3364),tensor(0.4203),"tensor(1, dtype=torch.int32)"
5,tensor(0.5514),tensor(0.9156),tensor(0.6108),tensor(0.2339),tensor(0.6001),tensor(0.6093),tensor(0.5869),tensor(0.6055),tensor(0.6055),tensor(0.3361),tensor(0.6559),tensor(0.6699),tensor(0.5514),tensor(0.6055),"tensor(1, dtype=torch.int32)"
6,tensor(0.5650),tensor(0.9218),tensor(0.6253),tensor(0.2412),tensor(0.6197),tensor(0.6281),tensor(0.5978),tensor(0.6149),tensor(0.6149),tensor(0.3246),tensor(0.6694),tensor(0.6823),tensor(0.5650),tensor(0.6149),"tensor(1, dtype=torch.int32)"
7,tensor(0.5436),tensor(0.9110),tensor(0.6074),tensor(0.1701),tensor(0.5995),tensor(0.6307),tensor(0.5733),tensor(0.5973),tensor(0.5974),tensor(0.2808),tensor(0.6543),tensor(0.6851),tensor(0.5436),tensor(0.5974),"tensor(1, dtype=torch.int32)"
8,tensor(0.5662),tensor(0.9228),tensor(0.6395),tensor(0.2497),tensor(0.6124),tensor(0.6387),tensor(0.6036),tensor(0.6196),tensor(0.6200),tensor(0.3413),tensor(0.6719),tensor(0.6855),tensor(0.5662),tensor(0.6200),"tensor(1, dtype=torch.int32)"
9,tensor(0.5721),tensor(0.9254),tensor(0.6609),tensor(0.2579),tensor(0.6185),tensor(0.6462),tensor(0.6148),tensor(0.6259),tensor(0.6263),tensor(0.3407),tensor(0.6803),tensor(0.6901),tensor(0.5721),tensor(0.6263),"tensor(1, dtype=torch.int32)"
