,map,map_50,map_75,map_small,map_medium,map_large,mar_1,mar_10,mar_100,mar_small,mar_medium,mar_large,map_per_class,mar_100_per_class,classes
0,tensor(0.5738),tensor(0.9208),tensor(0.6367),tensor(0.2187),tensor(0.6327),tensor(0.6441),tensor(0.6075),tensor(0.6235),tensor(0.6239),tensor(0.2968),tensor(0.6836),tensor(0.7092),tensor(0.5738),tensor(0.6239),"tensor(1, dtype=torch.int32)"
1,tensor(0.5979),tensor(0.9259),tensor(0.6886),tensor(0.2734),tensor(0.6542),tensor(0.6508),tensor(0.6313),tensor(0.6433),tensor(0.6436),tensor(0.3450),tensor(0.6994),tensor(0.7149),tensor(0.5979),tensor(0.6436),"tensor(1, dtype=torch.int32)"
2,tensor(0.5667),tensor(0.9237),tensor(0.6322),tensor(0.2309),tensor(0.6162),tensor(0.6442),tensor(0.6080),tensor(0.6209),tensor(0.6211),tensor(0.3338),tensor(0.6747),tensor(0.6901),tensor(0.5667),tensor(0.6211),"tensor(1, dtype=torch.int32)"
3,tensor(0.6020),tensor(0.9367),tensor(0.6913),tensor(0.2920),tensor(0.6498),tensor(0.6997),tensor(0.6373),tensor(0.6479),tensor(0.6483),tensor(0.3458),tensor(0.6991),tensor(0.7504),tensor(0.6020),tensor(0.6483),"tensor(1, dtype=torch.int32)"
4,tensor(0.5977),tensor(0.9369),tensor(0.6840),tensor(0.2753),tensor(0.6483),tensor(0.6745),tensor(0.6369),tensor(0.6473),tensor(0.6477),tensor(0.3484),tensor(0.7021),tensor(0.7255),tensor(0.5977),tensor(0.6477),"tensor(1, dtype=torch.int32)"
5,tensor(0.6066),tensor(0.9356),tensor(0.6987),tensor(0.2885),tensor(0.6520),tensor(0.6949),tensor(0.6384),tensor(0.6521),tensor(0.6525),tensor(0.3625),tensor(0.7043),tensor(0.7340),tensor(0.6066),tensor(0.6525),"tensor(1, dtype=torch.int32)"
6,tensor(0.5901),tensor(0.9349),tensor(0.6621),tensor(0.3018),tensor(0.6286),tensor(0.6893),tensor(0.6359),tensor(0.6471),tensor(0.6471),tensor(0.3765),tensor(0.6930),tensor(0.7376),tensor(0.5901),tensor(0.6471),"tensor(1, dtype=torch.int32)"
7,tensor(0.5901),tensor(0.9346),tensor(0.6771),tensor(0.2952),tensor(0.6301),tensor(0.6929),tensor(0.6414),tensor(0.6518),tensor(0.6522),tensor(0.3794),tensor(0.6976),tensor(0.7475),tensor(0.5901),tensor(0.6522),"tensor(1, dtype=torch.int32)"
8,tensor(0.5893),tensor(0.9439),tensor(0.6688),tensor(0.3060),tensor(0.6297),tensor(0.6828),tensor(0.6387),tensor(0.6502),tensor(0.6508),tensor(0.3777),tensor(0.6987),tensor(0.7323),tensor(0.5893),tensor(0.6508),"tensor(1, dtype=torch.int32)"
9,tensor(0.5843),tensor(0.9364),tensor(0.6636),tensor(0.3286),tensor(0.6250),tensor(0.6680),tensor(0.6393),tensor(0.6488),tensor(0.6488),tensor(0.3842),tensor(0.6968),tensor(0.7184),tensor(0.5843),tensor(0.6488),"tensor(1, dtype=torch.int32)"
