,map,map_50,map_75,map_small,map_medium,map_large,mar_1,mar_10,mar_100,mar_small,mar_medium,mar_large,map_per_class,mar_100_per_class,classes
0,tensor(0.5796),tensor(0.9208),tensor(0.6545),tensor(0.2296),tensor(0.6441),tensor(0.6043),tensor(0.6168),tensor(0.6258),tensor(0.6258),tensor(0.3221),tensor(0.6916),tensor(0.6529),tensor(0.5796),tensor(0.6258),"tensor(1, dtype=torch.int32)"
1,tensor(0.5679),tensor(0.9253),tensor(0.6136),tensor(0.2728),tensor(0.6242),tensor(0.6268),tensor(0.6096),tensor(0.6186),tensor(0.6186),tensor(0.3308),tensor(0.6721),tensor(0.7029),tensor(0.5679),tensor(0.6186),"tensor(1, dtype=torch.int32)"
2,tensor(0.5697),tensor(0.9259),tensor(0.6425),tensor(0.2296),tensor(0.6329),tensor(0.6225),tensor(0.6112),tensor(0.6189),tensor(0.6189),tensor(0.3019),tensor(0.6827),tensor(0.6794),tensor(0.5697),tensor(0.6189),"tensor(1, dtype=torch.int32)"
3,tensor(0.5683),tensor(0.9137),tensor(0.6728),tensor(0.2242),tensor(0.6300),tensor(0.6199),tensor(0.6154),tensor(0.6269),tensor(0.6269),tensor(0.3385),tensor(0.6850),tensor(0.6824),tensor(0.5683),tensor(0.6269),"tensor(1, dtype=torch.int32)"
4,tensor(0.5947),tensor(0.9171),tensor(0.6850),tensor(0.2186),tensor(0.6655),tensor(0.6304),tensor(0.6407),tensor(0.6468),tensor(0.6468),tensor(0.3058),tensor(0.7168),tensor(0.7029),tensor(0.5947),tensor(0.6468),"tensor(1, dtype=torch.int32)"
5,tensor(0.5774),tensor(0.9048),tensor(0.6647),tensor(0.1973),tensor(0.6440),tensor(0.6282),tensor(0.6205),tensor(0.6343),tensor(0.6343),tensor(0.3038),tensor(0.7018),tensor(0.6912),tensor(0.5774),tensor(0.6343),"tensor(1, dtype=torch.int32)"
6,tensor(0.6006),tensor(0.9359),tensor(0.6786),tensor(0.3490),tensor(0.6455),tensor(0.6566),tensor(0.6484),tensor(0.6574),tensor(0.6574),tensor(0.4231),tensor(0.7049),tensor(0.7000),tensor(0.6006),tensor(0.6574),"tensor(1, dtype=torch.int32)"
7,tensor(0.6069),tensor(0.9473),tensor(0.6718),tensor(0.3292),tensor(0.6531),tensor(0.6572),tensor(0.6510),tensor(0.6606),tensor(0.6606),tensor(0.4077),tensor(0.7119),tensor(0.7059),tensor(0.6069),tensor(0.6606),"tensor(1, dtype=torch.int32)"
8,tensor(0.6109),tensor(0.9336),tensor(0.6886),tensor(0.3268),tensor(0.6608),tensor(0.6598),tensor(0.6577),tensor(0.6686),tensor(0.6686),tensor(0.4135),tensor(0.7212),tensor(0.7088),tensor(0.6109),tensor(0.6686),"tensor(1, dtype=torch.int32)"
9,tensor(0.6034),tensor(0.9349),tensor(0.6931),tensor(0.3098),tensor(0.6541),tensor(0.6746),tensor(0.6532),tensor(0.6583),tensor(0.6583),tensor(0.3865),tensor(0.7115),tensor(0.7206),tensor(0.6034),tensor(0.6583),"tensor(1, dtype=torch.int32)"
