,map,map_50,map_75,map_small,map_medium,map_large,mar_1,mar_10,mar_100,mar_small,mar_medium,mar_large,map_per_class,mar_100_per_class,classes
0,tensor(0.5706),tensor(0.9325),tensor(0.6434),tensor(0.2475),tensor(0.6199),tensor(0.6585),tensor(0.6118),tensor(0.6272),tensor(0.6279),tensor(0.3275),tensor(0.6816),tensor(0.7113),tensor(0.5706),tensor(0.6279),"tensor(1, dtype=torch.int32)"
1,tensor(0.5702),tensor(0.9220),tensor(0.6259),tensor(0.2256),tensor(0.6186),tensor(0.6644),tensor(0.6014),tensor(0.6169),tensor(0.6179),tensor(0.3212),tensor(0.6694),tensor(0.7096),tensor(0.5702),tensor(0.6179),"tensor(1, dtype=torch.int32)"
2,tensor(0.5870),tensor(0.9349),tensor(0.6726),tensor(0.2849),tensor(0.6309),tensor(0.6757),tensor(0.6228),tensor(0.6346),tensor(0.6347),tensor(0.3593),tensor(0.6800),tensor(0.7330),tensor(0.5870),tensor(0.6347),"tensor(1, dtype=torch.int32)"
3,tensor(0.5765),tensor(0.9251),tensor(0.6579),tensor(0.2497),tensor(0.6239),tensor(0.6734),tensor(0.6179),tensor(0.6284),tensor(0.6285),tensor(0.3135),tensor(0.6844),tensor(0.7199),tensor(0.5765),tensor(0.6285),"tensor(1, dtype=torch.int32)"
4,tensor(0.5751),tensor(0.9252),tensor(0.6473),tensor(0.2445),tensor(0.6174),tensor(0.6860),tensor(0.6186),tensor(0.6271),tensor(0.6272),tensor(0.3209),tensor(0.6799),tensor(0.7248),tensor(0.5751),tensor(0.6272),"tensor(1, dtype=torch.int32)"
5,tensor(0.5747),tensor(0.9349),tensor(0.6379),tensor(0.2899),tensor(0.6123),tensor(0.6777),tensor(0.6152),tensor(0.6261),tensor(0.6267),tensor(0.3559),tensor(0.6717),tensor(0.7206),tensor(0.5747),tensor(0.6267),"tensor(1, dtype=torch.int32)"
6,tensor(0.5763),tensor(0.9242),tensor(0.6533),tensor(0.2808),tensor(0.6181),tensor(0.6812),tensor(0.6247),tensor(0.6361),tensor(0.6362),tensor(0.3521),tensor(0.6852),tensor(0.7252),tensor(0.5763),tensor(0.6362),"tensor(1, dtype=torch.int32)"
7,tensor(0.5851),tensor(0.9341),tensor(0.6609),tensor(0.2737),tensor(0.6249),tensor(0.6935),tensor(0.6300),tensor(0.6423),tensor(0.6430),tensor(0.3542),tensor(0.6936),tensor(0.7284),tensor(0.5851),tensor(0.6430),"tensor(1, dtype=torch.int32)"
8,tensor(0.5951),tensor(0.9354),tensor(0.6864),tensor(0.3037),tensor(0.6291),tensor(0.7096),tensor(0.6386),tensor(0.6476),tensor(0.6482),tensor(0.3668),tensor(0.6939),tensor(0.7518),tensor(0.5951),tensor(0.6482),"tensor(1, dtype=torch.int32)"
9,tensor(0.5991),tensor(0.9277),tensor(0.6840),tensor(0.2981),tensor(0.6420),tensor(0.6881),tensor(0.6373),tensor(0.6460),tensor(0.6460),tensor(0.3616),tensor(0.6967),tensor(0.7262),tensor(0.5991),tensor(0.6460),"tensor(1, dtype=torch.int32)"
